DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBLE EN LÍNEA,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,PERIODICIDAD DE DIFUSIÓN,ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,FUENTE,OBSERVACIONES
ENCUESTA SOBRE CONSUMO DE DROGAS EN POBLACIÓN SECUNDARIA,COSTA RICA,3 SALUD Y BIENESTAR,,SECTOR PÚBLICO,INSTITUTO SOBRE ALCOHOLISMO Y FARMACODEPENDENCIA -IAFA,ENCUESTA POR MUESTREO,Generar un acercamiento a los patrones de consumo de los adolescentes que asisten a centros educativos de enseñanza media.,,,,"Consumo en estudiantes de tabaco, alcohol o spa * Edad de primer consumo * Percepción de riesgo por consumo * Consumo familiar* Exposición a la oferta* Curiosidad por el consumo",Edad de primer consumo por grado escolar * Edad de primer consumo por sexo * Proporción de incidencia * Tasa de prevalencia,PROVINCIA,SI,XLSX*CSV,http://datosabiertos.iafa.go.cr/dashboards/19327/consumo-de-alcohol-entre-estudiantes-de-secundaria/,12/07/2016,TRIANUAL,2015,,,http://datosabiertos.iafa.go.cr/dashboards/19327/consumo-de-alcohol-entre-estudiantes-de-secundaria/,Contacto: sperez@iafa.go.cr
REGISTRO CENTROS DE ATENCIÓN INTEGRAL EN DROGAS (CAIDs),COSTA RICA,3 SALUD Y BIENESTAR,,SECTOR PÚBLICO,INSTITUTO SOBRE ALCOHOLISMO Y FARMACODEPENDENCIA -IAFA,REGISTRO ADMINISTRATIVO,Brindar información sobre los distintos servicios de consulta y tratamiento a consumidores ofrecidos en Costa Rica,,,,Número de atenciones brindadas * Caracterización sociodemográfica de los pacientes* Sustancia principal consumida * Ubicación centros de atención,Georreferenciación centros de consumo* Atenciones brindadas según principal sustancia de consumo* Desagregaciones por sexo* Desagregaciones por edad* Desagregaciones por año,COORDENADAS EXACTAS,SI,XLSX*CSV,http://datosabiertos.iafa.go.cr/dashboards/19246/datos-de-tratamiento/,12/07/2016,ANUAL,2015,,,http://datosabiertos.iafa.go.cr/dashboards/19246/datos-de-tratamiento/,
ENCUESTA CONTINUA DE EMPLEO (ECE),COSTA RICA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Obtener información constante respecto a la población empleada y desempleada del país, con los datos obtenidos se permitirán conocer mejor los efectos de las políticas y eventos económicos en el mercado laboral.",,,,Características demográficas * Características educativas * Población ocupada asalariada* Población independiente * Ocupación * Ingreso que reciben las personas por su trabajo * Condiciones del empleo,Ingreso mensual promedio en el empleo principal según características del empleo * Población ocupada asalariada e independiente según condición del empleo * Población ocupada según características del empleo * Población según indicadores generales de la condición de actividad * Ingreso mensual promedio en el empleo principal según características del empleo.,REGIÓN DE PLANIFICACIÓN*URBANO Y RURAL*NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-continua-de-empleo,14/07/2016,TRIIMESTRAL,I TRIMESTRE 2016,,,http://www.inec.go.cr/encuestas/encuesta-continua-de-empleo,
ENCUESTA DE HOGARES DE PROPÓSITOS MÚLTIPLES (EHPM),COSTA RICA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Caracterizar la situación socioeconómica de las personas y sus hogares en temas como pobreza, la tenencia de vivienda y sus características, el acceso de las personas a la educación y al seguro social. Igualmente, el acceso a programas sociales utilización de servicios de salud, telecomunicaciones, trabajo infantil, migración, seguridad ciudadana, lactancia materna.",,,,Fuerza de trabajo * Personas empleadas * Personas sin empleo * Ingresos *Pobreza * Tenencia de vivienda * Características vivienda * Acceso a la educación * Acceso al seguro social * Acceso a salud,Cantidad y porcentaje de servicios de telefonía residencial y telefonía celular por zona * Cantidad y porcentaje de servicios de telefonía residencial y telefonía celular según región de planificación * Cantidad y porcentaje de viviendas que poseen diferentes TIC por zona según quintil del ingreso per cápita del hogar * Cantidad y porcentaje de viviendas que poseen diferentes TIC por zona según región * Cantidad y porcentaje de viviendas que tienen acceso a internet según región y tipo de acceso utilizado.,REGIÓN DE PLANIFICACIÓN*NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-de-hogares-de-propositos-multiples,15/07/2016,NO ESTABLECIDO,2009,,,http://www.inec.go.cr/encuestas/encuesta-de-hogares-de-propositos-multiples,
ENCUESTA DE HOGARES DE PROPÓSITOS MÚLTIPLES (EHPM),COSTA RICA,3 SALUD Y BIENESTAR,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Caracterizar la situación socioeconómica de las personas y sus hogares en temas como pobreza, la tenencia de vivienda y sus características, el acceso de las personas a la educación y al seguro social. Igualmente, el acceso a programas sociales utilización de servicios de salud, telecomunicaciones, trabajo infantil, migración, seguridad ciudadana, lactancia materna.",,,,Acceso al seguro social *Acceso a salud * Acceso a Lactancia materna,Cantidad y porcentaje de servicios de telefonía residencial y telefonía celular por zona * Cantidad y porcentaje de servicios de telefonía residencial y telefonía celular según región de planificación * Cantidad y porcentaje de viviendas que poseen diferentes TIC por zona según quintil del ingreso per cápita del hogar * Cantidad y porcentaje de viviendas que poseen diferentes TIC por zona según región * Cantidad y porcentaje de viviendas que tienen acceso a internet según región y tipo de acceso utilizado,REGIÓN DE PLANIFICACIÓN*NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-de-hogares-de-propositos-multiples,15/07/2016,NO ESTABLECIDO,2009,,,http://www.inec.go.cr/encuestas/encuesta-de-hogares-de-propositos-multiples,
ENCUESTA DE HOGARES DE PROPÓSITOS MÚLTIPLES (EHPM),COSTA RICA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Caracterizar la situación socioeconómica de las personas y sus hogares en temas como pobreza, la tenencia de vivienda y sus características, el acceso de las personas a la educación y al seguro social. Igualmente, el acceso a programas sociales utilización de servicios de salud, telecomunicaciones, trabajo infantil, migración, seguridad ciudadana, lactancia materna.",,,,Fuerza de trabajo * Personas empleadas * Personas sin empleo * Ingresos *Pobreza * Tenencia de vivienda y sus características * Acceso a la educación * Acceso al seguro social *Acceso a salud,Cantidad y porcentaje de servicios de telefonía residencial y telefonía celular por zona * Cantidad y porcentaje de servicios de telefonía residencial y telefonía celular según región de planificación * Cantidad y porcentaje de viviendas que poseen diferentes TIC por zona según quintil del ingreso per cápita del hogar * Cantidad y porcentaje de viviendas que poseen diferentes TIC por zona según región * Cantidad y porcentaje de viviendas que tienen acceso a internet según región y tipo de acceso utilizado.,REGIÓN DE PLANIFICACIÓN*NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-de-hogares-de-propositos-multiples,15/07/2016,NO ESTABLECIDO,2009,,,http://www.inec.go.cr/encuestas/encuesta-de-hogares-de-propositos-multiples,
ENCUESTA NACIONAL A EMPRESAS (ENAE),COSTA RICA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,Presentar información relacionada con el sector empresarial,,,,Trabajador por sector económico * Caracterización demográfica del trabajador * Caracterización por sexo * Grupo ocupacional * Tipo de contrato,"Empresas por trimestre según sector económico * Horas extraordinarias mensuales remuneradas por trabajador, por sexo, según trimestre y grupo ocupacional * Horas extraordinarias mensuales remuneradas por trabajador, por sexo, según trimestre y sector económico *Horas ordinarias mensuales remuneradas por trabajador * Puestos vacantes por trimestre, según grupo ocupacional",NACIONAL,SI,XLS,http://www.inec.go.cr/encuesta-nacional-empresas,16/07/2016,TRIMESTRAL,2015,,,http://www.inec.go.cr/encuesta-nacional-empresas,
ENCUESTA NACIONAL DE HOGARES (ENAHO),COSTA RICA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"La Encuesta Nacional de Hogares es un programa de recolección de datos cuyo enfoque está asociado al nivel de bienestar de la población, especialmente centrados en la conformación del ingreso de los hogares, su distribución y características de los hogares y la población en situación de pobreza.",,,,Tenencia de vivienda * Vivienda con telefonía residencial * Vivienda con telefonía celular * líneas telefónicas por región * Ingreso de los hogares * Condiciones de trabajo * Acceso a la educación * Acceso a seguro social * Acceso a Telecomunicacón* Lactancia materna,Cantidad y porcentaje de viviendas con telefonía residencial y telefonía celular por región de planificación según cantidad de líneas * Cantidad y porcentaje de viviendas con telefonía residencial y telefonía celular por zona según cantidad de líneas *Cantidad y porcentaje de viviendas que poseen diferentes TIC por quintil del ingreso per cápita del hogar según región de planificación y tenencia de TIC * Cantidad y porcentaje de viviendas que poseen diferentes TIC por quintil del ingreso per cápita del hogar según zona y tenencia de TIC * Cantidad y porcentaje de viviendas que poseen diferentes TIC por región de planificación según tenencia de TIC,REGIÓN DE PLANIFICACIÓN*NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares,16/07/2016,ANUAL,2015,,,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares,
ENCUESTA NACIONAL DE HOGARES (ENAHO),COSTA RICA,3 SALUD Y BIENESTAR,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"La Encuesta Nacional de Hogares es un programa de recolección de datos cuyo enfoque está asociado al nivel de bienestar de la población, especialmente centrados en la conformación del ingreso de los hogares, su distribución y características de los hogares y la población en situación de pobreza.",,,,Tenencia de vivienda * Vivienda con telefonía residencial * Acceso a seguro social * Acceso a Telecomunicacón * Lactancia materna,Cantidad y porcentaje de viviendas con telefonía residencial y telefonía celular por región de planificación según cantidad de líneas * Cantidad y porcentaje de viviendas con telefonía residencial y telefonía celular por zona según cantidad de líneas *Cantidad y porcentaje de viviendas que poseen diferentes TIC por quintil del ingreso per cápita del hogar según región de planificación y tenencia de TIC * Cantidad y porcentaje de viviendas que poseen diferentes TIC por quintil del ingreso per cápita del hogar según zona y tenencia de TIC * Cantidad y porcentaje de viviendas que poseen diferentes TIC por región de planificación según tenencia de TIC,REGIÓN DE PLANIFICACIÓN*NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares,16/07/2016,ANUAL,2015,,,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares,
ENCUESTA NACIONAL DE HOGARES (ENAHO),COSTA RICA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"La Encuesta Nacional de Hogares es un programa de recolección de datos cuyo enfoque está asociado al nivel de bienestar de la población, especialmente centrados en la conformación del ingreso de los hogares, su distribución y características de los hogares y la población en situación de pobreza.",,,,*Acceso a la educación,Cantidad y porcentaje de viviendas con telefonía residencial y telefonía celular por región de planificación según cantidad de líneas * Cantidad y porcentaje de viviendas con telefonía residencial y telefonía celular por zona según cantidad de líneas *Cantidad y porcentaje de viviendas que poseen diferentes TIC por quintil del ingreso per cápita del hogar según región de planificación y tenencia de TIC * Cantidad y porcentaje de viviendas que poseen diferentes TIC por quintil del ingreso per cápita del hogar según zona y tenencia de TIC * Cantidad y porcentaje de viviendas que poseen diferentes TIC por región de planificación según tenencia de TIC,REGIÓN DE PLANIFICACIÓN*NACIONAL,SI,XLS,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares,16/07/2016,ANUAL,2015,,,http://www.inec.go.cr/encuestas/encuesta-nacional-de-hogares,
